frame,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y
1,1886.986083984375,496.63507080078125,1774.2152099609375,469.5640869140625,1845.7069091796875,533.494384765625,1766.318115234375,474.19073486328125
2,1883.785888671875,498.333251953125,1772.78466796875,469.81365966796875,1846.514404296875,532.7040405273438,1768.51025390625,474.9926452636719
3,1883.8868408203125,498.5780029296875,1771.761474609375,469.7259826660156,1846.0989990234375,533.7672729492188,1768.32568359375,476.120361328125
4,1882.877197265625,499.11895751953125,1773.25830078125,470.5886535644531,1845.188232421875,532.9597778320312,1768.04296875,476.86798095703125
5,1886.351806640625,498.5125427246094,1767.32568359375,477.3307800292969,1840.2071533203125,527.3443603515625,1764.303955078125,475.9162292480469
6,1879.633056640625,495.7786865234375,1769.282958984375,470.1068420410156,1839.5079345703125,525.1748657226562,1769.29443359375,479.2074279785156
7,1885.838134765625,497.5497741699219,1764.9599609375,474.6983642578125,1839.600341796875,529.1997680664062,1765.2315673828125,480.90887451171875
8,1885.4000244140625,496.6963195800781,1766.052978515625,475.79443359375,1836.84375,524.849365234375,1764.743896484375,480.7103576660156
9,1885.053955078125,496.29693603515625,1764.0806884765625,474.6464538574219,1835.5997314453125,523.9912719726562,1765.4957275390625,481.4256591796875
10,1883.4254150390625,493.6519775390625,1769.9381103515625,472.4760437011719,1828.6435546875,518.5748291015625,1768.872802734375,484.8380432128906
11,1882.2041015625,494.9862060546875,1762.9190673828125,476.4736022949219,1830.2666015625,517.0390625,1767.60693359375,485.5346374511719
12,1881.993896484375,492.6932373046875,1769.3306884765625,473.92803955078125,1823.2701416015625,510.9998474121094,1769.809326171875,485.1107482910156
13,1881.2154541015625,492.4486999511719,1769.5093994140625,476.15826416015625,1821.286865234375,506.9154357910156,1770.674560546875,486.31011962890625
14,1879.5604248046875,492.53375244140625,1769.5726318359375,476.98406982421875,1816.2161865234375,503.6125793457031,1773.9781494140625,484.7240295410156
15,1879.2598876953125,495.7863464355469,1763.1636962890625,479.0657043457031,1820.7642822265625,505.07110595703125,1773.440673828125,484.4192810058594
16,1879.2767333984375,493.0023498535156,1768.03759765625,479.0695495605469,1815.6666259765625,500.82196044921875,1775.9150390625,487.0047302246094
17,1877.3323974609375,493.3941955566406,1767.3394775390625,480.3403015136719,1814.1976318359375,498.25872802734375,1776.2127685546875,487.0462951660156
18,1878.809814453125,492.7445373535156,1767.06787109375,480.4068603515625,1815.0111083984375,498.7729797363281,1777.2890625,488.1945495605469
19,1878.771728515625,492.690673828125,1767.2142333984375,479.8855895996094,1816.1064453125,497.5706481933594,1776.5753173828125,487.03997802734375
20,1877.517822265625,492.63299560546875,1767.8804931640625,479.0900573730469,1813.923095703125,497.5246887207031,1774.193603515625,486.2441101074219
21,1878.5816650390625,493.4345703125,1767.7510986328125,479.37762451171875,1815.7349853515625,497.4598388671875,1774.811767578125,484.6551208496094
22,1878.025634765625,493.43511962890625,1768.8028564453125,479.4242248535156,1814.873291015625,497.1298828125,1774.7105712890625,486.0498962402344
23,1878.2537841796875,493.2501525878906,1767.718505859375,479.9385070800781,1816.51806640625,496.0985412597656,1775.4654541015625,486.0422058105469
24,1877.0164794921875,493.9270935058594,1769.661376953125,481.1120910644531,1812.1861572265625,495.080322265625,1776.4608154296875,485.9791564941406
25,1876.497802734375,496.5700378417969,1764.859619140625,483.0806884765625,1818.0062255859375,499.14251708984375,1776.056884765625,485.01409912109375
26,1876.3150634765625,494.8846435546875,1770.218994140625,484.6300354003906,1812.340576171875,496.8753662109375,1784.978759765625,491.2169494628906
27,1874.969970703125,494.65899658203125,1770.4461669921875,483.92681884765625,1811.8505859375,497.35986328125,1787.810791015625,490.2467956542969
28,1875.169921875,494.4664306640625,1771.6839599609375,483.294189453125,1810.2110595703125,497.02508544921875,1782.7794189453125,489.6588439941406
29,1876.7017822265625,494.0019226074219,1772.5174560546875,480.5660705566406,1808.3988037109375,497.8179931640625,1781.1611328125,486.6456604003906
