frame,wrist_x_sm,wrist_y_sm,elbow_x_sm,elbow_y_sm,wrist_vx_mps,wrist_vy_mps,wrist_speed_mps_sm,wrist_speed_kmh_sm,forearm_angle_rad,wrist_angular_vel_rads_sm
1,1911.734741210936,648.0887451171874,1911.1146240234357,652.2065429687495,9.93569621084895e-14,0.0,6.619799909828048e-14,2.3831279675380973e-13,-1.4213251355922885,-7.714521607038276e-13
2,1911.7347412109364,648.0887451171874,1911.1146240234361,652.2065429687497,4.967848105424475e-14,0.0,1.0082501808012312e-13,3.6297006508844327e-13,-1.4213251355922927,-7.739528160059469e-13
3,1911.7347412109364,648.0887451171874,1911.1146240234364,652.2065429687498,2.4839240527122375e-14,0.0,1.2157762934793107e-13,4.3767946565255187e-13,-1.4213251355923506,-7.414500589569712e-13
4,1911.7347412109366,648.0887451171874,1911.1146240234364,652.2065429687499,-2.2355316474410137e-13,-8.693734184492832e-14,1.2845583290170435e-13,4.624409984461356e-13,-1.4213251355923007,-6.739438895569006e-13
5,1911.7347412109343,648.0887451171866,1911.1146240234343,652.2065429687491,-2.4839240527122374e-13,-8.693734184492832e-14,1.2145962874144288e-13,4.3725466346919435e-13,-1.4213251355923546,-5.714343078057348e-13
6,1911.7347412109343,648.0887451171866,1911.1146240234343,652.2065429687491,0.0,0.0,9.900505104678198e-14,3.564181837684151e-13,-1.4213251355923546,-2.433817510634155e-13
7,1911.7347412109343,648.0887451171866,1911.1146240234343,652.2065429687491,0.0,0.0,5.670981921301849e-14,2.0415534916686656e-13,-1.4213251355923546,-2.5850668232623435e-13
8,1911.7347412109343,648.0887451171866,1911.1146240234343,652.2065429687491,0.0,0.0,-5.856183478931973e-15,-2.1082260524155104e-14,-1.4213251355923546,-8.711960407383621e-14
9,1911.7347412109343,648.0887451171866,1911.1146240234343,652.2065429687491,0.0,0.0,-2.3924275925118477e-14,-8.612739333042652e-14,-1.4213251355923546,1.4701433187459873e-13
10,1911.7347412109343,648.0887451171866,1911.1146240234343,652.2065429687491,0.0,0.0,0.0,0.0,-1.4213251355923546,0.0
11,1911.7347412109343,648.0887451171866,1911.1146240234343,652.2065429687491,0.0,0.0,0.0,0.0,-1.4213251355923546,0.0
12,1911.7347412109343,648.0887451171866,1911.1146240234343,652.2065429687491,0.0,0.0,0.0,0.0,-1.4213251355923546,0.0
13,1911.7347412109343,648.0887451171866,1911.1146240234343,652.2065429687491,0.0,0.0,0.0,0.0,-1.4213251355923546,0.0
14,1911.7347412109343,648.0887451171866,1911.1146240234343,652.2065429687491,0.0,0.0,0.0,0.0,-1.4213251355923546,0.0
15,1911.7347412109343,648.0887451171866,1911.1146240234343,652.2065429687491,0.0,0.0,0.0,0.0,-1.4213251355923546,0.0
16,1911.7347412109343,648.0887451171866,1911.1146240234343,652.2065429687491,0.0,0.0,0.0,0.0,-1.4213251355923546,0.0
17,1911.7347412109343,648.0887451171866,1911.1146240234343,652.2065429687491,0.0,0.0,0.0,0.0,-1.4213251355923546,0.0
18,1911.7347412109343,648.0887451171866,1911.1146240234343,652.2065429687491,0.0,0.0,0.0,0.0,-1.4213251355923546,0.0
19,1911.7347412109343,648.0887451171866,1911.1146240234343,652.2065429687491,0.0,0.0,0.0,0.0,-1.4213251355923546,0.0
20,1911.7347412109343,648.0887451171866,1911.1146240234343,652.2065429687491,0.0,0.0,0.0,0.0,-1.4213251355923546,0.0
21,1911.7347412109343,648.0887451171866,1911.1146240234343,652.2065429687491,0.0,0.0,0.0,0.0,-1.4213251355923546,0.0
22,1911.7347412109343,648.0887451171866,1911.1146240234343,652.2065429687491,0.0,0.0,0.0,0.0,-1.4213251355923546,0.0
23,1911.7347412109343,648.0887451171866,1911.1146240234343,652.2065429687491,0.0,0.0,0.0,0.0,-1.4213251355923546,0.0
24,1911.7347412109343,648.0887451171866,1911.1146240234343,652.2065429687491,0.0,0.0,0.0,0.0,-1.4213251355923546,0.0
25,1911.7347412109343,648.0887451171866,1911.1146240234343,652.2065429687491,0.0,0.0,0.0,0.0,-1.4213251355923546,0.0
26,1911.7347412109343,648.0887451171866,1911.1146240234343,652.2065429687491,0.0,0.0,0.0,0.0,-1.4213251355923546,0.0
27,1911.7347412109343,648.0887451171866,1911.1146240234343,652.2065429687491,0.0,0.0,0.0,0.0,-1.4213251355923546,0.0
28,1911.7347412109343,648.0887451171866,1911.1146240234343,652.2065429687491,0.0,0.0,0.0,0.0,-1.4213251355923546,0.0
29,1911.7347412109343,648.0887451171866,1911.1146240234343,652.2065429687491,0.0,0.0,0.0,0.0,-1.4213251355923546,0.0
30,1911.7347412109343,648.0887451171866,1911.1146240234343,652.2065429687491,0.0,0.0,0.0,0.0,-1.4213251355923546,0.0
31,1911.7347412109343,648.0887451171866,1911.1146240234343,652.2065429687491,0.0,0.0,0.0,0.0,-1.4213251355923546,0.0
32,1911.7347412109343,648.0887451171866,1911.1146240234343,652.2065429687491,0.0,0.0,0.0,0.0,-1.4213251355923546,0.0
33,1911.7347412109343,648.0887451171866,1911.1146240234343,652.2065429687491,0.0,0.0,0.0,0.0,-1.4213251355923546,0.0
34,1911.7347412109343,648.0887451171866,1911.1146240234343,652.2065429687491,0.0,0.0,0.0,0.0,-1.4213251355923546,0.0
35,1911.7347412109343,648.0887451171866,1911.1146240234343,652.2065429687491,0.0,0.0,0.0,0.0,-1.4213251355923546,0.0
36,1911.7347412109343,648.0887451171866,1911.1146240234343,652.2065429687491,0.0,0.0,0.0,0.0,-1.4213251355923546,0.0
37,1911.7347412109343,648.0887451171866,1911.1146240234343,652.2065429687491,0.0,0.0,0.0,0.0,-1.4213251355923546,0.0
38,1911.7347412109343,648.0887451171866,1911.1146240234343,652.2065429687491,0.0,0.0,0.0,0.0,-1.4213251355923546,0.0
39,1911.7347412109343,648.0887451171866,1911.1146240234343,652.2065429687491,0.0,0.0,0.0,0.0,-1.4213251355923546,0.0
40,1911.7347412109343,648.0887451171866,1911.1146240234343,652.2065429687491,0.0,0.0,0.0,0.0,-1.4213251355923546,0.0
41,1911.7347412109343,648.0887451171866,1911.1146240234343,652.2065429687491,0.0,0.0,0.0,0.0,-1.4213251355923546,0.0
42,1911.7347412109343,648.0887451171866,1911.1146240234343,652.2065429687491,0.0,0.0,0.0,0.0,-1.4213251355923546,0.0
43,1911.7347412109343,648.0887451171866,1911.1146240234343,652.2065429687491,0.0,0.0,0.0,0.0,-1.4213251355923546,0.0
44,1911.7347412109343,648.0887451171866,1911.1146240234343,652.2065429687491,0.0,0.0,0.0,0.0,-1.4213251355923546,0.0
45,1911.7347412109343,648.0887451171866,1911.1146240234343,652.2065429687491,0.0,0.0,0.0,0.0,-1.4213251355923546,0.0
46,1911.7347412109343,648.0887451171866,1911.1146240234343,652.2065429687491,0.0,0.0,0.0,0.0,-1.4213251355923546,0.0
47,1911.7347412109343,648.0887451171866,1911.1146240234343,652.2065429687491,0.0,0.0,0.0,0.0,-1.4213251355923546,0.0
48,1911.7347412109343,648.0887451171866,1911.1146240234343,652.2065429687491,0.0,0.0,0.0,0.0,-1.4213251355923546,0.0
49,1911.7347412109343,648.0887451171866,1911.1146240234343,652.2065429687491,0.0,0.0,0.0,0.0,-1.4213251355923546,0.0
50,1911.7347412109343,648.0887451171866,1911.1146240234343,652.2065429687491,0.0,0.0,0.0,0.0,-1.4213251355923546,0.0
